,formula,  lambda,  w_log [K],   mu,Tc,P,prm0,prm1,prm2,prm3
98,ArH, 0.5288 ,    618.92 ,0.13,5.9378,1400.0,18.0,1.0,1.0,1.0
99,HfH2, 0.327  ,    183.82 ,0.1,0.192,0.0001,72.0,1.0,1.0,2.0
100,HfH2, 0.327  ,    183.82 ,0.13,0.047,0.0001,72.0,1.0,1.0,2.0
101,HfH2, 0.294  ,    201.20 ,0.1,0.081,10.0,72.0,1.0,1.0,2.0
102,HfH2, 0.294  ,    201.20 ,0.13,0.012,10.0,72.0,1.0,1.0,2.0
103,HfH2, 0.26   ,    229.21 ,0.1,0.021,30.0,72.0,1.0,1.0,2.0
104,HfH2, 0.26   ,    229.21 ,0.13,0.001,30.0,72.0,1.0,1.0,2.0
105,HfH2, 0.242  ,    253.17 ,0.1,0.008,50.0,72.0,1.0,1.0,2.0
106,HfH2, 0.643  ,    292.71 ,0.1,8.158999999999999,180.0,72.0,1.0,1.0,2.0
107,HfH2, 0.643  ,    292.71 ,0.13,5.9879999999999995,180.0,72.0,1.0,1.0,2.0
108,HfH2, 0.59   ,    285.24 ,0.1,6.207000000000001,240.0,72.0,1.0,1.0,2.0
109,HfH2, 0.59   ,    285.24 ,0.13,4.322,240.0,72.0,1.0,1.0,2.0
110,HfH2, 0.871  ,    232.06 ,0.1,12.804,260.0,72.0,1.0,1.0,2.0
111,HfH2, 0.871  ,    232.06 ,0.13,10.62,260.0,72.0,1.0,1.0,2.0
112,HfH2, 0.787  ,    218.68 ,0.1,7.962000000000001,280.0,72.0,1.0,1.0,2.0
113,HfH2, 0.787  ,    218.68 ,0.13,9.911,280.0,72.0,1.0,1.0,2.0
114,PH3, 0.53   ,    990    ,0.13,9.0,100.0,15.0,1.0,1.0,3.0
115,PH3, 1.45   ,    826    ,0.13,83.0,200.0,15.0,1.0,1.0,3.0
116,PH2, 1.05   ,    655.1  ,0.1,49.0,100.0,15.0,1.0,1.0,2.0
117,PH2, 1.05   ,    655.1  ,0.18,32.1,100.0,15.0,1.0,1.0,2.0
118,PH2, 1.0    ,    798.1  ,0.1,55.5,150.0,15.0,1.0,1.0,2.0
119,PH2, 1.0    ,    798.1  ,0.18,35.2,150.0,15.0,1.0,1.0,2.0
120,PH2, 1.04   ,   1026.5  ,0.1,75.6,200.0,15.0,1.0,1.0,2.0
121,PH2, 1.04   ,   1026.5  ,0.18,49.2,200.0,15.0,1.0,1.0,2.0
122,PH2, 0.86   ,    946.2  ,0.1,50.6,150.0,15.0,1.0,1.0,2.0
123,PH2, 0.86   ,    946.2  ,0.18,28.3,150.0,15.0,1.0,1.0,2.0
124,PH2, 1.13   ,    851.6  ,0.1,70.4,200.0,15.0,1.0,1.0,2.0
125,PH2, 1.13   ,    851.6  ,0.18,48.0,200.0,15.0,1.0,1.0,2.0
126,HSe2, 0.45   ,    647    ,0.1,5.0,300.0,1.0,34.0,1.0,2.0
127,HSe, 0.65   ,    832    ,0.1,23.0,300.0,1.0,34.0,1.0,1.0
128,HSe, 0.81   ,    813    ,0.1,39.0,250.0,1.0,34.0,1.0,1.0
129,HSe, 0.80   ,    885    ,0.1,42.0,300.0,1.0,34.0,1.0,1.0
130,H3Se, 1.09   ,   1477    ,0.1,116.0,200.0,1.0,34.0,3.0,1.0
131,H3Se, 1.04   ,   1498    ,0.1,111.0,250.0,1.0,34.0,3.0,1.0
132,H3Se, 1.04   ,   1492    ,0.1,110.0,300.0,1.0,34.0,3.0,1.0
133,PbH8, 1.296  ,   1051    ,0.1,103.0,200.0,82.0,1.0,1.0,8.0
134,HCl, 0.56   ,   1094    ,0.1,20.0,250.0,1.0,17.0,1.0,1.0
135,HCl, 0.56   ,   1094    ,0.13,13.0,250.0,1.0,17.0,1.0,1.0
136,HBr, 0.27   ,    834    ,0.1,0.12,120.0,1.0,35.0,1.0,1.0
137,HBr, 0.27   ,    834    ,0.13,0.0097,120.0,1.0,35.0,1.0,1.0
138,AlH5, 1.625  ,    949    ,0.1,146.0,250.0,13.0,1.0,1.0,5.0
139,AlH5, 1.625  ,    949    ,0.13,132.0,250.0,13.0,1.0,1.0,5.0
140,BH, 0.74   ,    985.0  ,0.13,30.8,100.0,5.0,1.0,1.0,1.0
141,BH, 0.74   ,    985.0  ,0.1,39.2,100.0,5.0,1.0,1.0,1.0
142,BH, 0.65   ,   1100.5  ,0.13,23.7,125.0,5.0,1.0,1.0,1.0
143,BH, 0.65   ,   1100.5  ,0.1,32.0,125.0,5.0,1.0,1.0,1.0
144,BH, 0.59   ,   1233.6  ,0.13,18.7,150.0,5.0,1.0,1.0,1.0
145,BH, 0.59   ,   1233.6  ,0.1,26.9,150.0,5.0,1.0,1.0,1.0
146,BH, 0.55   ,   1261.8  ,0.13,14.1,175.0,5.0,1.0,1.0,1.0
147,BH, 0.55   ,   1261.8  ,0.1,21.4,175.0,5.0,1.0,1.0,1.0
148,BH, 0.51   ,   1394.4  ,0.13,11.7,200.0,5.0,1.0,1.0,1.0
149,BH, 0.51   ,   1394.4  ,0.1,18.8,200.0,5.0,1.0,1.0,1.0
150,PoH, 0.33   ,    806.1  ,0.13,0.14,300.0,84.0,1.0,1.0,1.0
151,PoH, 0.33   ,    806.1  ,0.1,0.65,300.0,84.0,1.0,1.0,1.0
152,PoH2, 0.19   ,    712.9  ,0.13,0.0001,200.0,84.0,1.0,1.0,2.0
153,PoH2, 0.19   ,    712.9  ,0.1,0.0001,200.0,84.0,1.0,1.0,2.0
154,PoH4, 1.09   ,    602.6  ,0.13,41.1,200.0,84.0,1.0,1.0,4.0
155,PoH4, 1.09   ,    602.6  ,0.1,47.2,200.0,84.0,1.0,1.0,4.0
156,PoH6, 0.43   ,    836.1  ,0.13,2.25,200.0,84.0,1.0,1.0,6.0
157,PoH6, 0.43   ,    836.1  ,0.1,4.68,200.0,84.0,1.0,1.0,6.0
158,SnH4, 0.61   ,    905    ,0.13,15.0,120.0,50.0,1.0,1.0,4.0
159,SnH4, 0.61   ,    905    ,0.1,22.0,120.0,50.0,1.0,1.0,4.0
160,SnH4, 0.87   ,   1135    ,0.13,52.0,200.0,50.0,1.0,1.0,4.0
161,SnH4, 0.87   ,   1135    ,0.1,62.0,200.0,50.0,1.0,1.0,4.0
162,SnH4, 1.180  ,   1025    ,0.1,91.0,220.0,50.0,1.0,1.0,4.0
163,SnH4, 1.180  ,   1025    ,0.13,80.0,220.0,50.0,1.0,1.0,4.0
164,SnH8, 1.188  ,    919    ,0.1,81.0,220.0,50.0,1.0,1.0,8.0
165,SnH8, 1.188  ,    919    ,0.13,72.0,220.0,50.0,1.0,1.0,8.0
166,SnH12, 1.250  ,    991    ,0.1,93.0,250.0,50.0,1.0,1.0,12.0
167,SnH12, 1.250  ,    991    ,0.13,83.0,250.0,50.0,1.0,1.0,12.0
168,SnH14, 1.187  ,   1099    ,0.1,97.0,300.0,50.0,1.0,1.0,14.0
169,SnH14, 1.187  ,   1099    ,0.13,86.0,300.0,50.0,1.0,1.0,14.0
170,H4Te, 1.461  ,    940.259,0.1,104.47,170.0,1.0,52.0,4.0,1.0
171,H4Te, 1.461  ,    940.259,0.13,95.0,170.0,1.0,52.0,4.0,1.0
172,H4Te, 1.461  ,    940.259,0.16,85.6,170.0,1.0,52.0,4.0,1.0
173,H4Te, 1.461  ,    940.259,0.2,73.21,170.0,1.0,52.0,4.0,1.0
174,H4Te, 1.403  ,    929.110,0.1,99.18,200.0,1.0,52.0,4.0,1.0
175,H4Te, 1.403  ,    929.110,0.13,89.8,200.0,1.0,52.0,4.0,1.0
176,H4Te, 1.403  ,    929.110,0.16,80.49,200.0,1.0,52.0,4.0,1.0
177,H4Te, 1.403  ,    929.110,0.2,68.28,200.0,1.0,52.0,4.0,1.0
178,H4Te, 1.422  ,    844.188,0.1,91.33,230.0,1.0,52.0,4.0,1.0
179,H4Te, 1.422  ,    844.188,0.13,82.81,230.0,1.0,52.0,4.0,1.0
180,H4Te, 1.422  ,    844.188,0.16,74.35,230.0,1.0,52.0,4.0,1.0
181,H4Te, 1.422  ,    844.188,0.2,63.25,230.0,1.0,52.0,4.0,1.0
182,H4Te, 0.923  ,   1237.535,0.1,75.66,270.0,1.0,52.0,4.0,1.0
183,H4Te, 0.923  ,   1237.535,0.13,63.74,270.0,1.0,52.0,4.0,1.0
184,H4Te, 0.923  ,   1237.535,0.16,52.41,270.0,1.0,52.0,4.0,1.0
185,H4Te, 0.923  ,   1237.535,0.2,38.52,270.0,1.0,52.0,4.0,1.0
186,H4Te, 0.842  ,   1307.098,0.1,67.7,300.0,1.0,52.0,4.0,1.0
187,H4Te, 0.842  ,   1307.098,0.13,55.6,300.0,1.0,52.0,4.0,1.0
188,H4Te, 0.842  ,   1307.098,0.16,44.3,300.0,1.0,52.0,4.0,1.0
189,H4Te, 0.842  ,   1307.098,0.2,30.82,300.0,1.0,52.0,4.0,1.0
190,H5Te2, 1.135  ,    790.315,0.1,57.98,200.0,1.0,52.0,5.0,2.0
191,H5Te2, 1.135  ,    790.315,0.13,47.1,200.0,1.0,52.0,5.0,2.0
192,H5Te2, 1.135  ,    790.315,0.16,38.65,200.0,1.0,52.0,5.0,2.0
193,H5Te2, 1.135  ,    790.315,0.2,26.12,200.0,1.0,52.0,5.0,2.0
194,H5Te2, 0.772  ,   1058.281,0.1,46.0,300.0,1.0,52.0,5.0,2.0
