formula,P,Tc,AD
ZrH10,100,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH6,200,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,250,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH10,100,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,150,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,250,184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH8,300,183,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10W,250,183,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]
SmH10,150,183,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LiH,150,183,[ 1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]
HfH9,100,183,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,200,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH8,250,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Sr2H,150,182,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
TaH10,200,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,300,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,250,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,200,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH6,150,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,100,182,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10Os,200,182,[ 1.  1. -1. -1. -1. -1. -1.  1.  1.  1.]
ZrH9,300,181,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10W,200,181,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]
LiH,100,181,[ 1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]
SmH10,100,181,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH8,250,181,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,250,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,150,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,200,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TaH10,150,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
BaH8,200,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH6,100,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10Os,150,180,[ 1.  1. -1. -1. -1. -1. -1.  1.  1.  1.]
NdH9,300,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NbH10,150,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
Sr2H,100,180,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
CaH9,300,180,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SrH8,200,179,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,300,179,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
H10W,150,179,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.]
ZrH9,250,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
NdH9,250,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TaH10,100,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,250,178,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
