,formula,Tc,P,prm0,prm1,prm2,prm3
180,H4Te,74.35,230.0,1.0,52.0,4.0,1.0
181,H4Te,63.25,230.0,1.0,52.0,4.0,1.0
182,H4Te,75.66,270.0,1.0,52.0,4.0,1.0
183,H4Te,63.74,270.0,1.0,52.0,4.0,1.0
184,H4Te,52.41,270.0,1.0,52.0,4.0,1.0
185,H4Te,38.52,270.0,1.0,52.0,4.0,1.0
186,H4Te,67.7,300.0,1.0,52.0,4.0,1.0
187,H4Te,55.6,300.0,1.0,52.0,4.0,1.0
188,H4Te,44.3,300.0,1.0,52.0,4.0,1.0
189,H4Te,30.82,300.0,1.0,52.0,4.0,1.0
190,H5Te2,57.98,200.0,1.0,52.0,5.0,2.0
191,H5Te2,47.1,200.0,1.0,52.0,5.0,2.0
192,H5Te2,38.65,200.0,1.0,52.0,5.0,2.0
193,H5Te2,26.12,200.0,1.0,52.0,5.0,2.0
194,H5Te2,46.0,300.0,1.0,52.0,5.0,2.0
195,H5Te2,36.7,300.0,1.0,52.0,5.0,2.0
196,H5Te2,28.2,300.0,1.0,52.0,5.0,2.0
197,H5Te2,18.39,300.0,1.0,52.0,5.0,2.0
198,HTe,28.28,150.0,1.0,52.0,1.0,1.0
199,HTe,21.83,150.0,1.0,52.0,1.0,1.0
200,HTe,16.1,150.0,1.0,52.0,1.0,1.0
201,HTe,9.72,150.0,1.0,52.0,1.0,1.0
202,HTe,18.71,200.0,1.0,52.0,1.0,1.0
203,HTe,12.85,200.0,1.0,52.0,1.0,1.0
204,HTe,8.1,200.0,1.0,52.0,1.0,1.0
205,HTe,3.63,200.0,1.0,52.0,1.0,1.0
206,HTe,44.26,300.0,1.0,52.0,1.0,1.0
207,HTe,38.52,300.0,1.0,52.0,1.0,1.0
208,HTe,33.64,300.0,1.0,52.0,1.0,1.0
209,HTe,25.9,300.0,1.0,52.0,1.0,1.0
210,TcH2,5.42,100.0,43.0,1.0,1.0,2.0
211,TcH2,3.03,100.0,43.0,1.0,1.0,2.0
212,TcH2,6.31,150.0,43.0,1.0,1.0,2.0
213,TcH2,3.58,150.0,43.0,1.0,1.0,2.0
214,TcH2,10.65,200.0,43.0,1.0,1.0,2.0
215,TcH2,6.73,200.0,43.0,1.0,1.0,2.0
216,TcH2,8.61,300.0,43.0,1.0,1.0,2.0
217,TcH2,5.05,300.0,43.0,1.0,1.0,2.0
218,TcH3,9.94,300.0,43.0,1.0,1.0,3.0
219,TcH3,6.74,300.0,43.0,1.0,1.0,3.0
220,OsH,2.1,100.0,76.0,1.0,1.0,1.0
221,NbH,2.4,0.0001,41.0,1.0,1.0,1.0
222,NbH,1.5,0.0001,41.0,1.0,1.0,1.0
223,NbH2,2.6,0.0001,41.0,1.0,1.0,2.0
224,NbH2,1.5,0.0001,41.0,1.0,1.0,2.0
225,NbH2,1.5,50.0,41.0,1.0,1.0,2.0
226,NbH2,0.7,50.0,41.0,1.0,1.0,2.0
227,NbH4,47.0,300.0,41.0,1.0,1.0,4.0
228,NbH4,38.0,300.0,41.0,1.0,1.0,4.0
229,CaH6,172.0,150.0,20.0,1.0,1.0,6.0
230,CaH6,163.0,150.0,20.0,1.0,1.0,6.0
231,KH6,58.66,166.0,19.0,1.0,1.0,6.0
232,KH6,69.84,166.0,19.0,1.0,1.0,6.0
233,KH6,57.95,230.0,19.0,1.0,1.0,6.0
234,KH6,69.6,230.0,19.0,1.0,1.0,6.0
235,KH6,46.05,300.0,19.0,1.0,1.0,6.0
236,KH6,57.42,300.0,19.0,1.0,1.0,6.0
237,BiH,29.4,250.0,83.0,1.0,1.0,1.0
238,BiH,23.32,250.0,83.0,1.0,1.0,1.0
