 BiH6  ,    2,      300, 1.23   ,   1102.82 , 0.13,   90.57   
 BeH2  ,   63,      250, 0.63   ,   1729    , 0.12,   38      
 BeH2  ,   63,      300,        ,           , 0.12,   41      
 MgH2  ,  194,      180, 0.58   ,   1111    , 0.13,   16      
 MgH2  ,  194,      180, 0.58   ,   1111    , 0.10,   23      
 MgH4  ,   63,      100, 0.74   ,    941    , 0.13,   29      
 MgH4  ,   63,      100, 0.74   ,    941    , 0.10,   37      
 MgH12 ,  146,      140, 0.73   ,   1554    , 0.13,   47      
 MgH12 ,  146,      140, 0.73   ,   1554    , 0.10,   60      
 BaH6  ,  123,      100, 0.77   ,    878    , 0.13,   30      
 BaH6  ,  123,      100, 0.77   ,    878    , 0.10,   38      
 BaH2  ,  164,       60, 0.22   ,    780    , 0.10,    0.004  
 BaH2  ,  164,       60, 0.22   ,    780    , 0.12,    0.0002 
 AsH   ,   63,      300, 0.59   ,    995    , 0.10,   21.2    
 AsH   ,   63,      400, 0.55   ,   1166    , 0.10,   20.2    
 AsH8  ,   15,      350, 1.50   ,   1240    , 0.10,  141.0    
 AsH8  ,   15,      400, 1.63   ,   1169    , 0.10,  143.9    
 AsH8  ,   15,      450, 1.77   ,   1153    , 0.10,  151.4    
 SbH   ,   62,      175, 0.57   ,    736    , 0.10,   14.6    
 SbH   ,   62,      215, 0.51   ,    820    , 0.10,   10.5    
 SbH   ,   62,      255, 0.47   ,    877    , 0.10,    8.5    
 SbH   ,   62,      295, 0.45   ,    890    , 0.10,    6.8    
 SbH3  ,   59,      300, 0.61   ,   1100    , 0.10,   25.9    
 SbH3  ,   59,      400, 0.56   ,   1112    , 0.10,   19.8    
 SbH4  ,  194,      150, 1.28   ,   1054    , 0.10,  102.2    
 SbH4  ,  194,      200, 1.21   ,   1133    , 0.10,  102.3    
 SbH4  ,  194,      250, 1.18   ,   1145    , 0.10,   99.9    
 SbH4  ,  194,      300, 1.16   ,   1090    , 0.10,   93.9    
   H2I ,   63,      100, 0.51   ,    608.7  , 0.10,    7.8    
   H2I ,   63,      100, 0.51   ,    608.7  , 0.13,    4.8    
   H4I ,  191,      100, 0.58   ,    854.3  , 0.10,   17.5    
   H4I ,  191,      100, 0.58   ,    854.3  , 0.13,   12.0    
   H4I ,  191,      150, 0.56   ,   1097.4  , 0.10,   20.4    
   H4I ,  191,      150, 0.56   ,   1097.4  , 0.13,   13.7    
 GeH4  ,   12,      280, 0.895  ,   1162    , 0.10,   67      
 GeH4  ,   12,      280, 0.895  ,   1162    , 0.13,   56      
 GeH4  ,   12,      300, 0.867  ,   1154    , 0.10,   63      
 GeH4  ,   12,      300, 0.867  ,   1154    , 0.13,   52      
Ge3H11 ,  119,      285, 0.721  ,   1155    , 0.10,   43      
Ge3H11 ,  119,      285, 0.721  ,   1155    , 0.13,   34      
Ge3H11 ,  119,      300, 0.690  ,   1140    , 0.10,   38      
Ge3H11 ,  119,      300, 0.690  ,   1140    , 0.13,   29      
Ge3H11 ,  119,      320, 0.668  ,   1127    , 0.10,   35      
Ge3H11 ,  119,      320, 0.668  ,   1127    , 0.13,   26      
 GeH4  ,   40,      250, 0.88   ,   1011    , 0.13,   47      
 GeH4  ,   40,      250, 0.88   ,   1011    , 0.10,   57      
 GeH4  ,   15,      500, 0.92   ,   1374    , 0.13,   70      
 GeH4  ,   15,      500, 0.92   ,   1374    , 0.10,   84      
 N4H   ,   36,       55,        ,           , 0.13,    2.6    
 N2H   ,   14,       60,        ,           , 0.13,    7.8    
 FeH5  ,  139,      130, 1.40   ,    614    , 0.10,   51      
 FeH5  ,  139,      200, 1.10   ,    600    , 0.10,   48      
 CoH   ,  225,        5, 0.28   ,    361.8  , 0.10,    0.11   
