,Tc,Z1,Z2,N1,N2,P
269,38.0,4.0,1.0,1.0,2.0,250.0
270,41.0,4.0,1.0,1.0,2.0,300.0
271,16.0,12.0,1.0,1.0,2.0,180.0
272,23.0,12.0,1.0,1.0,2.0,180.0
273,29.0,12.0,1.0,1.0,4.0,100.0
274,37.0,12.0,1.0,1.0,4.0,100.0
275,47.0,12.0,1.0,1.0,12.0,140.0
276,60.0,12.0,1.0,1.0,12.0,140.0
277,30.0,56.0,1.0,1.0,6.0,100.0
278,38.0,56.0,1.0,1.0,6.0,100.0
279,0.004,56.0,1.0,1.0,2.0,60.0
280,0.0002,56.0,1.0,1.0,2.0,60.0
281,21.2,33.0,1.0,1.0,1.0,300.0
282,20.2,33.0,1.0,1.0,1.0,400.0
283,141.0,33.0,1.0,1.0,8.0,350.0
284,143.9,33.0,1.0,1.0,8.0,400.0
285,151.4,33.0,1.0,1.0,8.0,450.0
286,14.6,51.0,1.0,1.0,1.0,175.0
287,10.5,51.0,1.0,1.0,1.0,215.0
288,8.5,51.0,1.0,1.0,1.0,255.0
289,6.8,51.0,1.0,1.0,1.0,295.0
290,25.9,51.0,1.0,1.0,3.0,300.0
291,19.8,51.0,1.0,1.0,3.0,400.0
292,102.2,51.0,1.0,1.0,4.0,150.0
293,102.3,51.0,1.0,1.0,4.0,200.0
294,99.9,51.0,1.0,1.0,4.0,250.0
295,93.9,51.0,1.0,1.0,4.0,300.0
296,7.8,1.0,53.0,2.0,1.0,100.0
297,4.8,1.0,53.0,2.0,1.0,100.0
298,17.5,1.0,53.0,4.0,1.0,100.0
299,12.0,1.0,53.0,4.0,1.0,100.0
300,20.4,1.0,53.0,4.0,1.0,150.0
301,13.7,1.0,53.0,4.0,1.0,150.0
302,67.0,32.0,1.0,1.0,4.0,280.0
303,56.0,32.0,1.0,1.0,4.0,280.0
304,63.0,32.0,1.0,1.0,4.0,300.0
305,52.0,32.0,1.0,1.0,4.0,300.0
306,43.0,32.0,1.0,3.0,11.0,285.0
307,34.0,32.0,1.0,3.0,11.0,285.0
308,38.0,32.0,1.0,3.0,11.0,300.0
309,29.0,32.0,1.0,3.0,11.0,300.0
310,35.0,32.0,1.0,3.0,11.0,320.0
311,26.0,32.0,1.0,3.0,11.0,320.0
