,formula,Tc,P,prm0,prm1,prm2,prm3,prm4,prm5,prm6,prm7,prm8,prm9,prm10,prm11,prm12,prm13,prm14,prm15,prm16,prm17,prm18,prm19,prm20,prm21,prm22,prm23,prm24,prm25,prm26,prm27,prm28,prm29,prm30,prm31,prm32,prm33,prm34,prm35,prm36,prm37,prm38,prm39,prm40,prm41,prm42,prm43,prm44,prm45,prm46,prm47,prm48,prm49
10,H3S,184.0,250.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
11,H3S,179.0,300.0,16.534000000000002,8.771,5.684758570071381,2.393791268810201,0.13641589698392514,0.29364050690240096,31.052000000000003,7.259,15.526000000000002,13.445910419157196,11.979222002568001,12.788828003852,11.8692844046113,12.704474828354643,0.6839839125363545,0.5038770726163616,3.2384240051359985,7.608823003851999,1.6192120025679992,1.402278728336561,184.0,169.0,181.5378748360793,167.20296864815592,0.6797960686407377,0.6242554327079943,60.0,62.0,30.0,25.98076211353316,200.005,107.0075,73.5381533627273,32.09781189757036,0.15179448574223098,0.32109668264991587,371.99,85.9925,185.995,161.07639497688666,3.5,2.25,2.449489742783178,1.5650845800732873,0.410116318288409,0.6365141682948128,5,0.75,2.5,2.165063509461097
12,H2S,33.0104,130.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
13,H2S,40.0,140.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
14,H2S,56.1245,150.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
15,H2S,60.2076,158.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
16,H2S,82.1453,160.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
17,H2S,78.1315,170.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
18,H2S,68.2353,180.0,16.534000000000002,11.358666666666668,5.684758570071381,3.193705459815448,0.13641589698392514,0.22465513294167233,31.052000000000003,10.014666666666667,15.526000000000002,14.638053179603117,11.979222002568001,12.518959336757332,11.8692844046113,12.419744363541641,0.6839839125363545,0.5889895488318226,3.2384240051359985,5.612286003423998,1.6192120025679992,1.526607716259309,184.0,174.0,181.5378748360793,171.85087127950786,0.6797960686407377,0.6768445986670503,60.0,31.33333333333333,30.0,28.2842712474619,200.005,138.00666666666666,73.5381533627273,42.31436797090411,0.15179448574223098,0.24759052421754912,371.99,119.32666666666665,185.995,175.35776768905586,3.5,2.6666666666666665,2.449489742783178,1.8171205928321397,0.410116318288409,0.5623351446188083,5,1.3333333333333335,2.5,2.3570226039551585
19,H4S3,0.75,140.0,16.534000000000002,14.316,5.684758570071381,4.4400757882956885,0.13641589698392514,0.16868932877836193,31.052000000000003,13.164,15.526000000000002,15.366754764751079,11.979222002568001,12.210538002934857,11.8692844046113,12.102143611082145,0.6839839125363545,0.6554730036145353,3.2384240051359985,3.3305294315062843,1.6192120025679992,1.6026042609560696,184.0,179.71428571428572,181.5378748360793,177.32117501695282,0.6797960686407377,0.6929335878918619,60.0,3.714285714285708,30.0,29.692299558323608,200.005,173.4342857142857,73.5381533627273,58.028978037467276,0.15179448574223098,0.18704924886723967,371.99,157.42285714285714,185.995,184.08730854501334,3.5,3.1428571428571423,2.449489742783178,2.155228855539861,0.410116318288409,0.47413931305783735,5,1.9999999999999998,2.5,2.4743582965269675
