formula,P,Tc,AD
H5Pb,200,73,1
SnH6,250,73,1
TeH7,150,73,1
Sb2H7,300,73,1
H7Se2,250,72,1
H2S,300,72,1
H2S,250,72,1
H2S,200,72,1
CeH10,300,72,1
SnH6,300,72,1
BiH4,100,72,1
Sn2H9,250,72,1
H5Pb,300,72,1
SnH8,250,72,1
SnH5,200,72,1
Sb2H7,100,71,1
H5Pb,250,71,1
BiH7,200,71,1
H7Se2,150,71,1
GeH6,300,71,1
SnH8,300,71,1
TeH7,300,71,1
TeH6,250,71,1
PH3,200,71,1
H9Pb2,200,71,1
H9Pb2,150,71,1
TeH7,200,70,1
H4Se,100,70,1
H4Se,300,70,1
Sn2H9,200,70,1
CeH10,100,70,1
BiH7,300,70,1
CeH10,200,70,1
CeH10,150,70,1
PH3,300,70,1
PH3,250,70,1
SbH7,100,70,1
SnH9,100,70,1
SnH6,100,70,1
P2H9,150,70,1
SnH9,300,69,1
H9Pb2,250,69,1
InH10,250,69,1
H9Pb2,300,69,1
CeH10,250,69,1
P2H7,250,69,1
P2H7,300,69,1
BiH4,250,69,1
H5S2,300,69,1
H7Se2,200,69,1
H5S2,250,69,1
H9Se2,150,69,1
H5S2,200,69,1
Ti2H9,200,69,1
H5S2,150,69,1
Li2H9,200,69,1
SnH8,100,69,1
Li2H9,100,68,1
TeH6,150,68,1
SnH7,200,68,1
LiH6,300,68,1
AsH6,300,68,1
Li2H9,150,68,1
Ti2H9,300,68,1
Ti2H9,150,68,1
SnH7,150,68,1
P2H5,250,68,1
BiH8,100,68,1
SnH5,150,68,1
P2H5,200,68,1
InH10,100,68,1
InH10,150,68,1
BiH4,300,67,1
KH8,150,67,1
H5Se,150,67,1
KH8,100,67,1
KH7,150,67,1
P2H5,300,67,1
InH10,300,67,1
KH7,100,67,1
YH4,100,67,1
YH4,150,67,1
Ti2H9,100,67,1
GeH6,200,67,1
InH10,200,67,1
BiH7,100,67,1
H9Se2,100,67,1
LiH5,300,67,1
LaH9,150,67,1
LaH9,200,67,1
AsH5,250,67,1
LaH9,100,67,1
H9Se2,200,66,1
Sn2H9,150,66,1
KH9,200,66,1
KH9,150,66,1
KH9,100,66,1
TeH7,100,66,1
PoH8,250,66,1
Te2H7,300,66,1
KH8,200,66,1
KH7,200,66,1
H9Se2,300,65,1
SnH7,250,65,1
GeH6,100,65,1
P2H7,200,65,1
KH6,150,65,1
PH3,150,65,1
KH6,100,65,1
H5Pb,100,65,1
KH10,200,65,1
H5Se,300,65,1
H5Se,100,65,1
H4Pb,150,65,1
SiH5,100,65,1
KH10,150,65,1
Bi2H7,200,64,1
Bi2H7,150,64,1
SnH7,300,64,1
KH10,100,64,1
KH7,250,64,1
KH8,250,64,1
PH4,250,64,1
H7Se2,100,64,1
PH4,300,64,1
TeH6,200,64,1
TeH5,300,64,1
KH6,200,64,1
H7Se2,300,64,1
LaH9,250,63,1
KH9,250,63,1
H5Se,200,63,1
AsH5,200,63,1
K2H9,150,63,1
K2H9,200,63,1
K2H9,100,63,1
H9Pb2,100,62,1
AsH6,150,62,1
Pm2H9,200,62,1
KH4,200,62,1
Pm2H9,300,62,1
Pm2H9,250,62,1
Pm2H9,150,62,1
Pm2H9,100,62,1
KH4,150,62,1
AsH6,200,62,1
SnH7,100,62,1
GeH6,150,62,1
KH10,250,62,1
H2S,150,62,1
K2H9,250,62,1
KH4,100,62,1
PH2,250,62,1
SnH5,100,62,1
TiH4,150,62,1
TiH4,200,62,1
PH2,200,62,1
PH2,300,62,1
TeH3,200,61,1
Eu2H9,300,61,1
TeH3,150,61,1
TeH6,100,61,1
TiH4,100,61,1
Sn2H9,100,60,1
KH5,100,60,1
YH4,200,60,1
YH4,250,60,1
YH4,300,60,1
KH4,250,60,1
KH5,150,60,1
KH5,250,60,1
PH4,200,60,1
TiH4,250,60,1
TiH4,300,60,1
KH6,250,60,1
KH5,200,60,1
LaH9,300,59,1
La2H9,100,59,1
Eu2H9,100,59,1
Bi2H7,250,59,1
AsH5,150,59,1
La2H9,150,59,1
La2H9,200,59,1
Eu2H9,150,59,1
La2H9,250,59,1
Eu2H9,200,59,1
Eu2H9,250,59,1
La2H9,300,59,1
AsH5,300,59,1
H4Pb,100,59,1
TeH6,300,59,1
KH9,300,58,1
P2H5,150,58,1
P2H7,150,58,1
Ge2H9,300,58,1
GeH4,300,58,1
LiH7,300,58,1
GeH5,300,58,1
Sc2H7,200,57,1
SnH4,200,57,1
K2H9,300,57,1
Bi2H7,300,57,1
KH7,300,57,1
KH8,300,57,1
BaH6,200,57,1
BaH6,300,57,1
BaH6,250,57,1
Te2H9,300,57,1
BiH3,200,56,1
Bi2H7,100,56,1
KH10,300,56,1
Sc2H7,100,56,1
LiH5,250,56,1
Sc2H7,150,56,1
BaH6,100,55,1
BaH6,150,55,1
PoH8,200,55,1
TeH3,250,55,1
BiH3,150,55,1
BiH2,300,55,1
BiH2,250,55,1
CeH4,100,54,1
CeH4,300,54,1
CeH4,250,54,1
CeH4,200,54,1
CeH4,150,54,1
PH4,150,54,1
Sc2H7,300,54,1
SiH5,250,54,1
Ge2H9,250,54,1
Ce2H7,300,54,1
Ce2H7,250,54,1
Ce2H7,150,54,1
GeH5,250,54,1
KH5,300,54,1
H5S2,100,54,1
LiH6,250,54,1
Ce2H7,200,54,1
AsH6,100,54,1
PrH4,100,54,1
PrH4,150,54,1
PrH4,200,54,1
PrH4,250,54,1
PrH4,300,54,1
SiH4,100,53,1
TeH3,100,52,1
KH4,300,52,1
Ba2H9,250,52,1
Ge2H9,200,52,1
GeH4,200,52,1
GeH5,200,52,1
GeH4,250,52,1
LiH4,300,51,1
PoH4,200,51,1
BiH3,250,51,1
BiH2,200,50,1
Y2H7,150,50,1
Ba2H9,100,50,1
Ba2H9,150,50,1
LiH7,250,50,1
Y2H7,100,50,1
PoH4,250,50,1
PoH4,300,50,1
Si2H9,100,49,1
KH6,300,49,1
GeH4,150,49,1
H7Pb2,250,49,1
BiH2,150,49,1
H7Pb2,300,49,1
BiH3,300,49,1
BaH7,200,48,1
BaH7,250,48,1
Ba2H9,300,48,1
BaH7,300,48,1
BaH7,150,48,1
BaH7,100,48,1
PoH4,150,48,1
Sc2H7,250,48,1
TeH3,300,48,1
Po2H9,200,48,1
Ge2H9,150,48,1
LiH4,250,48,1
GeH5,150,48,1
BiH3,100,47,1
TeH4,300,47,1
Sn2H7,250,47,1
BiH2,100,47,1
Ba2H9,200,47,1
Po2H9,300,47,1
Po2H9,250,47,1
H7Pb2,200,46,1
Po2H9,150,46,1
GeH4,100,46,1
SiH5,300,46,1
SiH5,200,46,1
P2H9,100,46,1
Ge2H9,100,45,1
H5Se2,250,45,1
Bi2H5,300,45,1
PoH4,100,45,1
LiH4,150,45,1
LiH4,200,45,1
LiH4,100,45,1
AsH5,100,45,1
P2H5,100,45,1
Sn2H7,300,45,1
Y2H7,200,45,1
Y2H7,250,45,1
Y2H7,300,45,1
GeH5,100,45,1
H5Se2,200,45,1
Tc2H7,200,45,1
Tc2H7,150,45,1
Tc2H7,250,45,1
LiH5,200,44,1
SiH3,100,44,1
B2H3,100,44,1
Si2H7,100,44,1
Bi2H5,250,44,1
PoH5,200,43,1
Ti2H7,150,43,1
LiH5,150,43,1
LiH5,100,43,1
Bi2H5,200,43,1
PH2,100,43,1
H5Se2,100,43,1
H5Se2,150,43,1
H5Se2,300,43,1
Po2H9,100,43,1
SiH5,150,43,1
Tc2H7,300,43,1
H7I2,200,43,1
H7I2,300,42,1
PH2,150,42,1
Ti2H7,200,42,1
PoH5,250,42,1
LiH7,200,42,1
H7I2,250,42,1
PoH5,300,41,1
PoH7,250,41,1
SiH3,250,41,1
PoH5,150,41,1
SiH3,200,41,1
Bi2H5,150,41,1
B2H3,200,41,1
PmH4,100,41,1
PmH4,150,41,1
PmH4,200,41,1
PmH4,250,41,1
Sn2H7,200,41,1
PmH4,300,41,1
LiH7,150,41,1
LiH6,200,41,1
H7Pb2,150,40,1
Te2H5,100,40,1
Te2H5,150,40,1
Te2H5,200,40,1
LiH6,150,40,1
Ti2H7,300,40,1
Bi2H5,100,40,1
LiH7,100,40,1
SiH3,150,40,1
LiH6,100,40,1
Ti2H7,100,40,1
Eu2H7,250,39,1
Eu2H7,300,39,1
SiH3,300,39,1
Pr2H7,300,39,1
Pr2H7,250,39,1
B2H3,150,39,1
H7I2,150,39,1
LiH9,300,39,1
LiH8,250,39,1
LiH8,300,39,1
LiH10,250,39,1
LiH10,300,39,1
LiH9,250,39,1
PoH7,300,39,1
H2S,100,39,1
EuH4,200,38,1
